date,home_team,away_team,winning_team
2015-01-03,Chicago Bulls,Boston Celtics,0
2015-01-03,Houston Rockets,Miami Heat,0
2015-01-03,Minnesota Timberwolves,Utah Jazz,1
2015-01-03,San Antonio Spurs,Washington Wizards,0
2015-01-03,Denver Nuggets,Memphis Grizzlies,0
2015-01-03,Portland Trail Blazers,Atlanta Hawks,1
2015-01-03,Los Angeles Clippers,Philadelphia 76ers,0
2015-01-04,Cleveland Cavaliers,Dallas Mavericks,1
2015-01-04,Detroit Pistons,Sacramento Kings,0
2015-01-04,Miami Heat,Brooklyn Nets,0
2015-01-04,New York Knicks,Milwaukee Bucks,1
2015-01-04,Phoenix Suns,Toronto Raptors,0
2015-01-04,Los Angeles Lakers,Indiana Pacers,0
2015-01-05,Philadelphia 76ers,Cleveland Cavaliers,0
2015-01-05,Boston Celtics,Charlotte Hornets,1
2015-01-05,Brooklyn Nets,Dallas Mavericks,1
2015-01-05,Chicago Bulls,Houston Rockets,0
2015-01-05,Memphis Grizzlies,New York Knicks,0
2015-01-05,Minnesota Timberwolves,Denver Nuggets,1
2015-01-05,New Orleans Pelicans,Washington Wizards,1
2015-01-05,Utah Jazz,Indiana Pacers,1
2015-01-05,Portland Trail Blazers,Los Angeles Lakers,0
2015-01-05,Golden State Warriors,Oklahoma City Thunder,0
2015-01-05,Los Angeles Clippers,Atlanta Hawks,1
2015-01-06,Milwaukee Bucks,Phoenix Suns,1
2015-01-06,San Antonio Spurs,Detroit Pistons,1
2015-01-07,Charlotte Hornets,New Orleans Pelicans,0
2015-01-07,Cleveland Cavaliers,Houston Rockets,1
2015-01-07,Philadelphia 76ers,Milwaukee Bucks,1
2015-01-07,Washington Wizards,New York Knicks,0
2015-01-07,Atlanta Hawks,Memphis Grizzlies,0
2015-01-07,Brooklyn Nets,Boston Celtics,1
2015-01-07,Chicago Bulls,Utah Jazz,1
2015-01-07,Dallas Mavericks,Detroit Pistons,1
2015-01-07,Denver Nuggets,Orlando Magic,0
2015-01-07,Minnesota Timberwolves,Phoenix Suns,1
2015-01-07,Sacramento Kings,Oklahoma City Thunder,0
2015-01-07,Golden State Warriors,Indiana Pacers,0
2015-01-07,Los Angeles Clippers,Los Angeles Lakers,0
2015-01-08,Toronto Raptors,Charlotte Hornets,1
2015-01-08,New York Knicks,Houston Rockets,1
2015-01-08,Portland Trail Blazers,Miami Heat,0
2015-01-09,Indiana Pacers,Boston Celtics,0
2015-01-09,Brooklyn Nets,Philadelphia 76ers,1
2015-01-09,Detroit Pistons,Atlanta Hawks,1
2015-01-09,New Orleans Pelicans,Memphis Grizzlies,0
2015-01-09,Oklahoma City Thunder,Utah Jazz,0
2015-01-09,Washington Wizards,Chicago Bulls,0
2015-01-09,Milwaukee Bucks,Minnesota Timberwolves,0
2015-01-09,San Antonio Spurs,Phoenix Suns,0
2015-01-09,Sacramento Kings,Denver Nuggets,1
2015-01-09,Golden State Warriors,Cleveland Cavaliers,0
2015-01-09,Los Angeles Lakers,Orlando Magic,0
2015-01-10,New York Knicks,Charlotte Hornets,1
2015-01-10,Los Angeles Clippers,Dallas Mavericks,0
2015-01-10,Detroit Pistons,Brooklyn Nets,0
2015-01-10,Philadelphia 76ers,Indiana Pacers,0
2015-01-10,Toronto Raptors,Boston Celtics,0
2015-01-10,Chicago Bulls,Milwaukee Bucks,0
2015-01-10,Houston Rockets,Utah Jazz,0
2015-01-10,Minnesota Timberwolves,San Antonio Spurs,1
2015-01-10,Portland Trail Blazers,Orlando Magic,0
2015-01-11,Atlanta Hawks,Washington Wizards,0
2015-01-11,Los Angeles Clippers,Miami Heat,1
2015-01-11,Memphis Grizzlies,Phoenix Suns,0
2015-01-11,Sacramento Kings,Cleveland Cavaliers,0
2015-01-11,Los Angeles Lakers,Portland Trail Blazers,1
2015-01-12,Boston Celtics,New Orleans Pelicans,0
2015-01-12,Brooklyn Nets,Houston Rockets,1
2015-01-12,Toronto Raptors,Detroit Pistons,1
2015-01-12,Chicago Bulls,Orlando Magic,1
2015-01-13,Indiana Pacers,Minnesota Timberwolves,1
2015-01-13,Philadelphia 76ers,Atlanta Hawks,1
2015-01-13,Washington Wizards,San Antonio Spurs,0
2015-01-13,Phoenix Suns,Cleveland Cavaliers,0
2015-01-13,Utah Jazz,Golden State Warriors,1
2015-01-13,Sacramento Kings,Dallas Mavericks,1
2015-01-13,Los Angeles Lakers,Miami Heat,1
2015-01-14,Charlotte Hornets,San Antonio Spurs,1
2015-01-14,Orlando Magic,Houston Rockets,0
2015-01-14,Brooklyn Nets,Memphis Grizzlies,1
2015-01-14,Detroit Pistons,New Orleans Pelicans,1
2015-01-14,Toronto Raptors,Philadelphia 76ers,0
2015-01-14,Boston Celtics,Atlanta Hawks,1
2015-01-14,Chicago Bulls,Washington Wizards,1
2015-01-14,Denver Nuggets,Dallas Mavericks,0
2015-01-14,Golden State Warriors,Miami Heat,0
2015-01-14,Portland Trail Blazers,Los Angeles Clippers,1
2015-01-15,Milwaukee Bucks,New York Knicks,0
2015-01-15,Houston Rockets,Oklahoma City Thunder,0
2015-01-15,Los Angeles Lakers,Cleveland Cavaliers,1
2015-01-16,Indiana Pacers,Detroit Pistons,1
2015-01-16,Orlando Magic,Memphis Grizzlies,1
2015-01-16,Philadelphia 76ers,New Orleans Pelicans,0
2015-01-16,Washington Wizards,Brooklyn Nets,1
2015-01-16,Boston Celtics,Chicago Bulls,1
2015-01-16,Toronto Raptors,Atlanta Hawks,1
2015-01-16,Oklahoma City Thunder,Golden State Warriors,0
2015-01-16,Dallas Mavericks,Denver Nuggets,0
2015-01-16,San Antonio Spurs,Portland Trail Blazers,0
2015-01-16,Phoenix Suns,Minnesota Timberwolves,0
2015-01-16,Utah Jazz,Los Angeles Lakers,0
2015-01-16,Sacramento Kings,Miami Heat,1
2015-01-16,Los Angeles Clippers,Cleveland Cavaliers,1
2015-01-17,Charlotte Hornets,Indiana Pacers,0
2015-01-17,Detroit Pistons,Philadelphia 76ers,0
2015-01-17,Brooklyn Nets,Washington Wizards,1
2015-01-17,Chicago Bulls,Atlanta Hawks,1
2015-01-17,Houston Rockets,Golden State Warriors,1
2015-01-17,Denver Nuggets,Minnesota Timberwolves,1
2015-01-17,Memphis Grizzlies,Portland Trail Blazers,0
2015-01-17,Sacramento Kings,Los Angeles Clippers,1
2015-01-18,Toronto Raptors,New Orleans Pelicans,1
2015-01-18,Orlando Magic,Oklahoma City Thunder,1
2015-01-18,San Antonio Spurs,Utah Jazz,0
2015-01-19,Charlotte Hornets,Minnesota Timberwolves,0
2015-01-19,Washington Wizards,Philadelphia 76ers,0
2015-01-19,Atlanta Hawks,Detroit Pistons,0
2015-01-19,Los Angeles Clippers,Boston Celtics,0
2015-01-19,Golden State Warriors,Denver Nuggets,0
2015-01-19,Memphis Grizzlies,Dallas Mavericks,1
2015-01-19,Houston Rockets,Indiana Pacers,0
2015-01-19,New York Knicks,New Orleans Pelicans,0
2015-01-19,Cleveland Cavaliers,Chicago Bulls,0
2015-01-19,Milwaukee Bucks,Toronto Raptors,1
2015-01-19,Phoenix Suns,Los Angeles Lakers,0
2015-01-19,Portland Trail Blazers,Sacramento Kings,0
2015-01-20,Miami Heat,Oklahoma City Thunder,1
2015-01-20,Denver Nuggets,San Antonio Spurs,1
2015-01-21,Charlotte Hornets,Miami Heat,0
2015-01-21,Cleveland Cavaliers,Utah Jazz,0
2015-01-21,Philadelphia 76ers,New York Knicks,1
2015-01-21,Atlanta Hawks,Indiana Pacers,0
2015-01-21,Detroit Pistons,Orlando Magic,0
2015-01-21,Memphis Grizzlies,Toronto Raptors,0
2015-01-21,Minnesota Timberwolves,Dallas Mavericks,1
2015-01-21,New Orleans Pelicans,Los Angeles Lakers,0
2015-01-21,Washington Wizards,Oklahoma City Thunder,1
2015-01-21,Phoenix Suns,Portland Trail Blazers,0
2015-01-21,Sacramento Kings,Brooklyn Nets,1
2015-01-21,Golden State Warriors,Houston Rockets,0
2015-01-22,Chicago Bulls,San Antonio Spurs,0
2015-01-22,Milwaukee Bucks,Utah Jazz,1
2015-01-22,Portland Trail Blazers,Boston Celtics,1
2015-01-22,Los Angeles Clippers,Brooklyn Nets,0
2015-01-23,Philadelphia 76ers,Toronto Raptors,1
2015-01-23,Atlanta Hawks,Oklahoma City Thunder,0
2015-01-23,Cleveland Cavaliers,Charlotte Hornets,0
2015-01-23,Miami Heat,Indiana Pacers,0
2015-01-23,New York Knicks,Orlando Magic,0
2015-01-23,Dallas Mavericks,Chicago Bulls,1
2015-01-23,Minnesota Timberwolves,New Orleans Pelicans,1
2015-01-23,San Antonio Spurs,Los Angeles Lakers,0
2015-01-23,Denver Nuggets,Boston Celtics,1
2015-01-23,Phoenix Suns,Houston Rockets,1
2015-01-23,Golden State Warriors,Sacramento Kings,0
2015-01-24,Charlotte Hornets,New York Knicks,0
2015-01-24,Milwaukee Bucks,Detroit Pistons,0
2015-01-24,Memphis Grizzlies,Philadelphia 76ers,0
2015-01-24,Utah Jazz,Brooklyn Nets,0
2015-01-24,Portland Trail Blazers,Washington Wizards,0
2015-01-25,Chicago Bulls,Miami Heat,1
2015-01-25,Cleveland Cavaliers,Oklahoma City Thunder,0
2015-01-25,Atlanta Hawks,Minnesota Timberwolves,0
2015-01-25,New Orleans Pelicans,Dallas Mavericks,0
2015-01-25,Orlando Magic,Indiana Pacers,1
2015-01-25,Phoenix Suns,Los Angeles Clippers,1
2015-01-25,San Antonio Spurs,Milwaukee Bucks,0
2015-01-25,Toronto Raptors,Detroit Pistons,0
2015-01-25,Denver Nuggets,Washington Wizards,1
2015-01-25,Golden State Warriors,Boston Celtics,0
2015-01-25,Los Angeles Lakers,Houston Rockets,1
2015-01-26,Memphis Grizzlies,Orlando Magic,0
2015-01-26,New Orleans Pelicans,Philadelphia 76ers,0
2015-01-26,Oklahoma City Thunder,Minnesota Timberwolves,0
2015-01-26,Utah Jazz,Boston Celtics,1
2015-01-26,Los Angeles Clippers,Denver Nuggets,0
2015-01-27,Indiana Pacers,Toronto Raptors,1
2015-01-27,Detroit Pistons,Cleveland Cavaliers,1
2015-01-27,Miami Heat,Milwaukee Bucks,1
2015-01-27,Dallas Mavericks,Memphis Grizzlies,1
2015-01-27,Golden State Warriors,Chicago Bulls,1
2015-01-27,Los Angeles Lakers,Washington Wizards,1
2015-01-28,Cleveland Cavaliers,Portland Trail Blazers,0
2015-01-28,Philadelphia 76ers,Detroit Pistons,0
2015-01-28,Toronto Raptors,Sacramento Kings,0
2015-01-28,Atlanta Hawks,Brooklyn Nets,0
2015-01-28,Houston Rockets,Dallas Mavericks,0
2015-01-28,Minnesota Timberwolves,Boston Celtics,0
2015-01-28,New Orleans Pelicans,Denver Nuggets,1
2015-01-28,New York Knicks,Oklahoma City Thunder,0
2015-01-28,San Antonio Spurs,Charlotte Hornets,0
2015-01-28,Utah Jazz,Los Angeles Clippers,1
2015-01-28,Phoenix Suns,Washington Wizards,0
2015-01-29,Indiana Pacers,New York Knicks,0
2015-01-29,Orlando Magic,Milwaukee Bucks,1
2015-01-29,Memphis Grizzlies,Denver Nuggets,0
2015-01-29,Los Angeles Lakers,Chicago Bulls,0
2015-01-30,Philadelphia 76ers,Minnesota Timberwolves,0
2015-01-30,Atlanta Hawks,Portland Trail Blazers,0
2015-01-30,Boston Celtics,Houston Rockets,1
2015-01-30,Brooklyn Nets,Toronto Raptors,1
2015-01-30,Cleveland Cavaliers,Sacramento Kings,0
2015-01-30,Miami Heat,Dallas Mavericks,1
2015-01-30,New Orleans Pelicans,Los Angeles Clippers,0
2015-01-30,Utah Jazz,Golden State Warriors,0
2015-01-30,Phoenix Suns,Chicago Bulls,0
2015-01-31,Indiana Pacers,Sacramento Kings,1
2015-01-31,Orlando Magic,Dallas Mavericks,1
2015-01-31,Washington Wizards,Toronto Raptors,1
2015-01-31,Atlanta Hawks,Philadelphia 76ers,0
2015-01-31,Detroit Pistons,Houston Rockets,0
2015-01-31,Memphis Grizzlies,Oklahoma City Thunder,0
2015-01-31,Minnesota Timberwolves,Cleveland Cavaliers,1
2015-01-31,Milwaukee Bucks,Portland Trail Blazers,0
2015-01-31,Denver Nuggets,Charlotte Hornets,1
2015-01-31,San Antonio Spurs,Los Angeles Clippers,1
2015-01-31,Golden State Warriors,Phoenix Suns,0
2015-02-01,Boston Celtics,Miami Heat,1
2015-02-01,New York Knicks,Los Angeles Lakers,0
2015-02-02,Cleveland Cavaliers,Philadelphia 76ers,0
2015-02-02,Washington Wizards,Charlotte Hornets,1
2015-02-02,Brooklyn Nets,Los Angeles Clippers,0
2015-02-02,Toronto Raptors,Milwaukee Bucks,1
2015-02-02,New Orleans Pelicans,Atlanta Hawks,0
2015-02-02,Oklahoma City Thunder,Orlando Magic,0
2015-02-02,Dallas Mavericks,Minnesota Timberwolves,0
2015-02-02,Phoenix Suns,Memphis Grizzlies,1
2015-02-03,Philadelphia 76ers,Denver Nuggets,0
2015-02-03,Detroit Pistons,Miami Heat,0
2015-02-03,New York Knicks,Boston Celtics,1
2015-02-03,Portland Trail Blazers,Utah Jazz,0
2015-02-03,Sacramento Kings,Golden State Warriors,1
2015-02-04,Indiana Pacers,Detroit Pistons,0
2015-02-04,Atlanta Hawks,Washington Wizards,0
2015-02-04,Boston Celtics,Denver Nuggets,0
2015-02-04,Toronto Raptors,Brooklyn Nets,1
2015-02-04,Houston Rockets,Chicago Bulls,0
2015-02-04,Milwaukee Bucks,Los Angeles Lakers,0
2015-02-04,Minnesota Timberwolves,Miami Heat,0
2015-02-04,New Orleans Pelicans,Oklahoma City Thunder,1
2015-02-04,San Antonio Spurs,Orlando Magic,0
2015-02-04,Utah Jazz,Memphis Grizzlies,1
2015-02-04,Golden State Warriors,Dallas Mavericks,0
2015-02-05,Charlotte Hornets,Washington Wizards,0
2015-02-05,Cleveland Cavaliers,Los Angeles Clippers,0
2015-02-05,Sacramento Kings,Dallas Mavericks,1
2015-02-05,Portland Trail Blazers,Phoenix Suns,0
2015-02-06,Brooklyn Nets,New York Knicks,0
2015-02-06,Indiana Pacers,Cleveland Cavaliers,0
2015-02-06,Orlando Magic,Los Angeles Lakers,0
2015-02-06,Toronto Raptors,Los Angeles Clippers,0
2015-02-06,Atlanta Hawks,Golden State Warriors,0
2015-02-06,Boston Celtics,Philadelphia 76ers,0
2015-02-06,Detroit Pistons,Denver Nuggets,0
2015-02-06,Houston Rockets,Milwaukee Bucks,0
2015-02-06,Minnesota Timberwolves,Memphis Grizzlies,0
2015-02-06,Oklahoma City Thunder,New Orleans Pelicans,1
2015-02-06,Phoenix Suns,Utah Jazz,0
2015-02-06,San Antonio Spurs,Miami Heat,0
2015-02-07,New Orleans Pelicans,Chicago Bulls,1
2015-02-07,Washington Wizards,Brooklyn Nets,0
2015-02-07,New York Knicks,Golden State Warriors,1
2015-02-07,Philadelphia 76ers,Charlotte Hornets,0
2015-02-07,Dallas Mavericks,Portland Trail Blazers,0
2015-02-07,Milwaukee Bucks,Boston Celtics,0
2015-02-07,Utah Jazz,Sacramento Kings,0
2015-02-08,Oklahoma City Thunder,Los Angeles Clippers,0
2015-02-08,Cleveland Cavaliers,Los Angeles Lakers,0
2015-02-08,Charlotte Hornets,Indiana Pacers,1
2015-02-08,Detroit Pistons,Minnesota Timberwolves,1
2015-02-08,Memphis Grizzlies,Atlanta Hawks,0
2015-02-08,Orlando Magic,Chicago Bulls,1
2015-02-08,Houston Rockets,Portland Trail Blazers,1
2015-02-08,Toronto Raptors,San Antonio Spurs,0
2015-02-08,Sacramento Kings,Phoenix Suns,0
2015-02-09,Indiana Pacers,San Antonio Spurs,1
2015-02-09,Philadelphia 76ers,Golden State Warriors,1
2015-02-09,Washington Wizards,Orlando Magic,0
2015-02-09,Miami Heat,New York Knicks,0
2015-02-09,Milwaukee Bucks,Brooklyn Nets,0
2015-02-09,Minnesota Timberwolves,Atlanta Hawks,1
2015-02-09,New Orleans Pelicans,Utah Jazz,1
2015-02-09,Dallas Mavericks,Los Angeles Clippers,1
2015-02-09,Denver Nuggets,Oklahoma City Thunder,1
2015-02-10,Charlotte Hornets,Detroit Pistons,1
2015-02-10,Chicago Bulls,Sacramento Kings,0
2015-02-10,Memphis Grizzlies,Brooklyn Nets,0
2015-02-10,Phoenix Suns,Houston Rockets,1
2015-02-10,Los Angeles Lakers,Denver Nuggets,1
2015-02-11,Orlando Magic,New York Knicks,0
2015-02-11,Boston Celtics,Atlanta Hawks,0
2015-02-11,Detroit Pistons,San Antonio Spurs,1
2015-02-11,Toronto Raptors,Washington Wizards,0
2015-02-11,Cleveland Cavaliers,Miami Heat,0
2015-02-11,Milwaukee Bucks,Sacramento Kings,0
2015-02-11,Minnesota Timberwolves,Golden State Warriors,1
2015-02-11,New Orleans Pelicans,Indiana Pacers,1
2015-02-11,Oklahoma City Thunder,Memphis Grizzlies,0
2015-02-11,Dallas Mavericks,Utah Jazz,0
2015-02-11,Portland Trail Blazers,Los Angeles Lakers,0
2015-02-11,Los Angeles Clippers,Houston Rockets,0
2015-02-12,Chicago Bulls,Cleveland Cavaliers,0
2015-02-19,Oklahoma City Thunder,Dallas Mavericks,0
2015-02-19,Los Angeles Clippers,San Antonio Spurs,0
2015-02-20,Orlando Magic,New Orleans Pelicans,0
2015-02-20,Philadelphia 76ers,Indiana Pacers,1
2015-02-20,Atlanta Hawks,Toronto Raptors,1
2015-02-20,Detroit Pistons,Chicago Bulls,0
2015-02-20,New York Knicks,Miami Heat,1
2015-02-20,Minnesota Timberwolves,Phoenix Suns,0
2015-02-20,Washington Wizards,Cleveland Cavaliers,1
2015-02-20,Dallas Mavericks,Houston Rockets,0
2015-02-20,Milwaukee Bucks,Denver Nuggets,0
2015-02-20,Utah Jazz,Portland Trail Blazers,0
2015-02-20,Sacramento Kings,Boston Celtics,0
2015-02-20,Golden State Warriors,San Antonio Spurs,0
2015-02-20,Los Angeles Lakers,Brooklyn Nets,1
2015-02-21,Charlotte Hornets,Oklahoma City Thunder,1
2015-02-21,Miami Heat,New Orleans Pelicans,1
2015-02-21,Chicago Bulls,Phoenix Suns,0
2015-02-21,Houston Rockets,Toronto Raptors,0
2015-02-21,Los Angeles Clippers,Sacramento Kings,0
2015-02-22,New York Knicks,Cleveland Cavaliers,1
2015-02-22,Detroit Pistons,Washington Wizards,0
2015-02-22,Milwaukee Bucks,Atlanta Hawks,1
2015-02-22,Indiana Pacers,Golden State Warriors,0
2015-02-22,Orlando Magic,Philadelphia 76ers,0
2015-02-22,Oklahoma City Thunder,Denver Nuggets,0
2015-02-22,Dallas Mavericks,Charlotte Hornets,0
2015-02-22,Portland Trail Blazers,Memphis Grizzlies,1
2015-02-22,Los Angeles Lakers,Boston Celtics,0
2015-02-23,Miami Heat,Philadelphia 76ers,0
2015-02-23,Chicago Bulls,Milwaukee Bucks,0
2015-02-23,Houston Rockets,Minnesota Timberwolves,0
2015-02-23,New Orleans Pelicans,Toronto Raptors,0
2015-02-23,Denver Nuggets,Brooklyn Nets,1
2015-02-23,Phoenix Suns,Boston Celtics,1
2015-02-23,Utah Jazz,San Antonio Spurs,0
2015-02-23,Los Angeles Clippers,Memphis Grizzlies,1
2015-02-24,Washington Wizards,Golden State Warriors,1
2015-02-24,Detroit Pistons,Cleveland Cavaliers,1
2015-02-24,Oklahoma City Thunder,Indiana Pacers,0
2015-02-24,Dallas Mavericks,Toronto Raptors,0
2015-02-25,Orlando Magic,Miami Heat,1
2015-02-25,Atlanta Hawks,Dallas Mavericks,0
2015-02-25,Boston Celtics,New York Knicks,0
2015-02-25,Chicago Bulls,Charlotte Hornets,1
2015-02-25,Houston Rockets,Los Angeles Clippers,0
2015-02-25,Milwaukee Bucks,Philadelphia 76ers,0
2015-02-25,Minnesota Timberwolves,Washington Wizards,0
2015-02-25,New Orleans Pelicans,Brooklyn Nets,0
2015-02-25,Denver Nuggets,Phoenix Suns,1
2015-02-25,Utah Jazz,Los Angeles Lakers,1
2015-02-25,Sacramento Kings,Memphis Grizzlies,0
2015-02-25,Portland Trail Blazers,San Antonio Spurs,0
2015-02-26,Cleveland Cavaliers,Golden State Warriors,0
2015-02-26,Phoenix Suns,Oklahoma City Thunder,0
2015-02-27,Indiana Pacers,Cleveland Cavaliers,0
2015-02-27,Philadelphia 76ers,Washington Wizards,0
2015-02-27,Atlanta Hawks,Orlando Magic,0
2015-02-27,Boston Celtics,Charlotte Hornets,0
2015-02-27,Detroit Pistons,New York Knicks,1
2015-02-27,Toronto Raptors,Golden State Warriors,1
2015-02-27,Chicago Bulls,Minnesota Timberwolves,0
2015-02-27,Houston Rockets,Brooklyn Nets,0
2015-02-27,Memphis Grizzlies,Los Angeles Clippers,1
2015-02-27,New Orleans Pelicans,Miami Heat,0
2015-02-27,Denver Nuggets,Utah Jazz,1
2015-02-27,Sacramento Kings,San Antonio Spurs,1
2015-02-27,Los Angeles Lakers,Milwaukee Bucks,0
2015-02-27,Portland Trail Blazers,Oklahoma City Thunder,0
2015-02-28,Washington Wizards,Detroit Pistons,0
2015-02-28,Miami Heat,Atlanta Hawks,1
2015-02-28,New York Knicks,Toronto Raptors,0
2015-02-28,Minnesota Timberwolves,Memphis Grizzlies,1
2015-02-28,Dallas Mavericks,Brooklyn Nets,1
2015-02-28,Phoenix Suns,San Antonio Spurs,1
2015-02-28,Utah Jazz,Milwaukee Bucks,0
2015-03-01,Chicago Bulls,Los Angeles Clippers,1
2015-03-01,Houston Rockets,Cleveland Cavaliers,0
2015-03-01,Boston Celtics,Golden State Warriors,1
2015-03-01,Indiana Pacers,Philadelphia 76ers,0
2015-03-01,Orlando Magic,Charlotte Hornets,1
2015-03-01,Sacramento Kings,Portland Trail Blazers,1
2015-03-01,Los Angeles Lakers,Oklahoma City Thunder,1
2015-03-01,Denver Nuggets,New Orleans Pelicans,1
2015-03-02,Philadelphia 76ers,Toronto Raptors,1
2015-03-02,Brooklyn Nets,Golden State Warriors,0
2015-03-02,Miami Heat,Phoenix Suns,0
2015-03-02,Minnesota Timberwolves,Los Angeles Clippers,1
2015-03-02,Dallas Mavericks,New Orleans Pelicans,0
2015-03-03,Charlotte Hornets,Los Angeles Lakers,0
2015-03-03,Cleveland Cavaliers,Boston Celtics,0
2015-03-03,New York Knicks,Sacramento Kings,1
2015-03-03,Atlanta Hawks,Houston Rockets,0
2015-03-03,Chicago Bulls,Washington Wizards,0
2015-03-03,Memphis Grizzlies,Utah Jazz,1
2015-03-03,Denver Nuggets,Milwaukee Bucks,0
2015-03-04,Indiana Pacers,New York Knicks,0
2015-03-04,Orlando Magic,Phoenix Suns,1
2015-03-04,Boston Celtics,Utah Jazz,0
2015-03-04,Brooklyn Nets,Charlotte Hornets,1
2015-03-04,Toronto Raptors,Cleveland Cavaliers,1
2015-03-04,Houston Rockets,Memphis Grizzlies,1
2015-03-04,Miami Heat,Los Angeles Lakers,0
2015-03-04,Minnesota Timberwolves,Denver Nuggets,1
2015-03-04,New Orleans Pelicans,Detroit Pistons,0
2015-03-04,Oklahoma City Thunder,Philadelphia 76ers,0
2015-03-04,San Antonio Spurs,Sacramento Kings,0
2015-03-04,Golden State Warriors,Milwaukee Bucks,0
2015-03-04,Los Angeles Clippers,Portland Trail Blazers,1
2015-03-05,Chicago Bulls,Oklahoma City Thunder,0
2015-03-05,Portland Trail Blazers,Dallas Mavericks,0
2015-03-06,Charlotte Hornets,Toronto Raptors,0
2015-03-06,Indiana Pacers,Chicago Bulls,0
2015-03-06,Orlando Magic,Sacramento Kings,0
2015-03-06,Philadelphia 76ers,Utah Jazz,1
2015-03-06,Washington Wizards,Miami Heat,0
2015-03-06,Atlanta Hawks,Cleveland Cavaliers,0
2015-03-06,Brooklyn Nets,Phoenix Suns,1
2015-03-06,Houston Rockets,Detroit Pistons,0
2015-03-06,Memphis Grizzlies,Los Angeles Lakers,0
2015-03-06,New Orleans Pelicans,Boston Celtics,1
2015-03-06,San Antonio Spurs,Denver Nuggets,0
2015-03-06,Golden State Warriors,Dallas Mavericks,0
2015-03-07,New Orleans Pelicans,Memphis Grizzlies,0
2015-03-07,Cleveland Cavaliers,Phoenix Suns,0
2015-03-07,Miami Heat,Sacramento Kings,0
2015-03-07,New York Knicks,Indiana Pacers,1
2015-03-07,Philadelphia 76ers,Atlanta Hawks,0
2015-03-07,Minnesota Timberwolves,Portland Trail Blazers,0
2015-03-07,Milwaukee Bucks,Washington Wizards,0
2015-03-07,Denver Nuggets,Houston Rockets,1
2015-03-08,San Antonio Spurs,Chicago Bulls,0
2015-03-08,Golden State Warriors,Los Angeles Clippers,0
2015-03-08,Brooklyn Nets,Utah Jazz,1
2015-03-08,Detroit Pistons,Charlotte Hornets,1
2015-03-08,Orlando Magic,Boston Celtics,0
2015-03-08,Oklahoma City Thunder,Toronto Raptors,0
